text,label
"As good an advert for republicanism as you're ever likely to see,""Mayerling""is an everyday story of royal folk in late nineteenth century Austria.Set during one of Europe's seemingly incessant internal turmoils it concerns itself with the Emperor Franz Joseph (Mr James Mason),his rebellious son,the Crown Prince Rudolf (Mr Omar Sharif)the Empress(Miss Ava Gardner) and various mistresses,secret policemen,spies,extravagantly-uniformed popinjays,gypsies,dancers,wives, soldiers,swans,horses and the bizarre inbred web of European royalty at the time of Franz Joseph's Austro-Hungarian Empire. Filmed in what the old movie posters used to call ""A Riot of Color"" it resembles nothing more than an expensively-dressed but intellectually-challenged production of ""The Student Prince"" .Mr James Mason,wearing a very natty little white number,utilises his all-purpose mittel-European accent whenever he remembers.I am a great admirer of his and I sincerely hope the remuneration was comensurate with the distaste he clearly felt for the character he was playing. Mr Omar Sharif,who built a career largely founded on looking directly at the camera with his big brown eyes and looking soulful,gives a stupefyingly monotonous performance as his son the Crown Prince.He is utterly unconvincing as a man who -in the movie at least-cut a swathe through the distaff side of the Austrian aristocracy.With his well-buttered locks firmly in place he preens and poses in ever more unlikely uniforms.As a rebel he talks the talk but conspicuously fails to walk the walk,leaving a bottom button undone on one of his tunics is about as far as his defiance goes.Unhappily married,he falls in love with a commoner.""Forbidden Love"" is one of the movie's come-ons.As she is played by the most uncommon Miss Catherine Deneuve he is scarcely pushing the envelope there.Miss Deneuve has a profile to die for and we see rather a lot of it,particularly in the sequence set at the ballet. Now I love ballet as much as the next man,but this sequence does seem to go on for an excessive amount of time,a more cynical critic might consider it to be ""padding"". Rudolf's mother,the Empress is played by Miss Ava Gardner.She gives the part some good old American oooomph,making her a bit like ""Auntie Mame"",but it's done with undeniable style.Rudolf is certainly very fond of his mother - I'll put it no more strongly than that. The only performance worth watching is that of Mr James Robertson Justice as Sir Lancelot Spratt - sorry,Edward,Prince of Wales.He is so wonderfully unconcerned about everything going on around him it's a joy to behold.I waited vainly for him to ask Rudolf the immortal question ""What's the bleeding time?"". I am not qualified to dispute ""Mayerling"" 's historical accuracy,but,in my opinion,everything else about it is risible. It is a Ruritanian Opera Buffa without the tunes to send you home from the theatre whistling.",0
"A great ensemble cast! A fond remembrance of younger carefree days. This movie takes me back to when I went to summer camp. Indian Summer, while full of practical jokes and pranks, is about growing up and coming to terms with life with middle-age life. My family & I thoroughly enjoyed this movie.",1
"I loved this film. I thought it would be easy to watch, and easy to forget. I ran out after watching this to buy the DVD, obv not easily forgotten!<br /><br />The script is brilliant, and the casting couldn't be more perfect. Each character has their moment, and I laughed hard throughout this film, comedic timing was spot-on.<br /><br />",1
"Slasher films are often seen as the derivative, repetitive and frankly unoriginal. I happen to to be a horror movie fan, but this film was just so poor, words fail me. The script is severely lacking, the plot is ridiculous, the acting astoundingly bad. Just an all round stinker, that I wasted time of my life on. This had all the entertainment value of a 15th sequel to a film that was dire in the first place. <br /><br />Who greenlit this mess?<br /><br />I only liked two things in this movie. The first was the killer's mask - which was nice. The second was the Austrailian affinity with humourous profanity.<br /><br />Save yourself, and avoid this hideous mess.",0
"I went into this film expecting it to be similar to The Matrix or Pi. Boy, was I wrong. Yes, there is a poorly written, poorly acted plot in the movie (with CG animated cells and peptides to boot). However, the real focus of the film are the ""expert"" talking heads spewing out new age feel-good hogwash in between plot segments.<br /><br />Sure, it stars off innocently enough. There is a little bit of real quantum physics in the beginning. It states, for example, that electrons exist as both particle and wave, and that an atom is mostly empty space. However, the movie takes a giant (and unscientific) leap, saying that sub-atomic quantum effects happen on large scales as well. The talking heads take it even further. According to them, the following are true:<br /><br />-When Columbus arrived in the Caribbean, the natives were unable to see his ships because their minds were incapable of perceiving something so different. -Meditation can reduce the murder rate. -With positive thought, you can walk on water. -Your thoughts can change the formations of ice crystals in bottles of water.<br /><br />And hey, that's only in the first 40 minutes!<br /><br />Watching the movie was torture. This film felt like a movie they would show you to get you to join a cult. After doing my homework, I realized that it basically is just that.<br /><br />On the other hand, this could be seen as a campy comedy (albeit one that's not funny).<br /><br />Save your time and money: don't see this movie.",0
"The year 1934 was when Shirley Temple played three major movies and really began to make a name for herself. Unfortunately, the studios had to experiment to see what the public best liked about here. Two of those things were singing and dancing. Another was a short, interesting film that kept people's attention and got their minds off The Depression. You know the other keys to Shirley's successful films.<br /><br />This film achieved none of the above, despite the star presences of Gary Cooper and Carole Lombard and despite a very good director in Henry Hathaway. In addition, there are too many talky parts in here which become simply boring, and too many arguments between a sullen Lombard and Cooper. To top it off, you didn't get the normal feel-good ending which is what the public wants. I guess they learned after this movie.",0
"Well, it turned out as I expected: visual overload but nothing else added to the original. What did surprise me however was that the storyline was fairly drastically changed compared to the 1968 flick. Initially this awoke my interest, but what eventually surprised was that the new twists and turns (a) were apparently invented in order to present us with a typical Hollywood-like product and (b) made the whole storyline improbable! The 1968 story was breathtakingly straightforward, and included no time-storms or any bogus of that sort: it just stated that when you come home after a long journey, things might have changed a bit. Earth might have fallen in the hands of apes, for example. Like many 'old' movies, it's main ingredient was suspense (hell, does anyone understand that word these days?). In this Burton movie, an attempt has been made to turn the whole thing into an action movie, but at what cost? Surely, the images are overwhelming, and a lot of time and money has been put into the design of a complete ape-culture (even ape-music!), but what's wrong?<br /><br />First, the suspension of disbelief is made very hard, because the apes have a lot of Hollywood-human traits. I refer especially to Ari and the slave-trader. These traits include emotional skills like irony, sarcasm, and an overtly displayed array of 'subtle' emotions. It makes you forget that the apes are apes, which is essential.<br /><br />Second, the humans TALK. Of course, we can imagine that humans will never forget how to speak, but the fact that the apes had speech and the humans didn't made the ape/human role-switching very tangible and stressing in the 1968 version. The wound in the throat that Charlton Heston gets there is essential to his survival and his later regained speech essential to his uniqueness and the interest that Dr. Zira has in him (so, no need for things like human rights activists or ape-human love in order to explain things).<br /><br />Third, the fact that they talk ads a great deal to the implausibility, but is a necessary twist in the new movie, since Capt. Davidson has to play the Hollywood-let's-save-the-whole-world- and-have-a-good-ending-for-everyone- and-still-make-it-to-the-lounge-bar- for-a-cool-diet-coke character. Oh my god, will they never learn? I new it from the start, when there was only one guy who got lost! They were in need of a hero! And then the script writers go on reasoning: we need one guy... so, why would one guy get lost... because he tries to save an ape from an electromagnetic storm... implausible! But it's necessary because it shows the audience that he respects apes! Since, in these modern and politically correct times, we can't have a xenophobic ape-hater like Charlton Heston's 68 character loose on the screen: let's give them a bubblegum version!<br /><br />Fourth, okay, the general twist of the original 'discovering the truth' of the 1968 film to the modern version (he finds that his own mother ship crashed on the planet ages ago and that their lab-apes developed their society, where Heston simply discovered that just, somehow, the apes overtook the earth while he was away) is nicely done. The second, battle-part comes as an anti-climax. That's because this movie has added the first two Planet Of The Apes movies in one plot. Nice try, but the chill you feel when Davidson and you discover that he's lost on the planet forever just washes out due to the uninteresting battle-part.<br /><br />Fifth: the ending!!! For chrissakes, who came up with that?! (a) Davidson crashes TWICE with his escape pod, which seems an unsteerable object, while the chimp manages to simply land gracefully? Come on, who'd believe that? If the pods are really small space crafts (Davidson simply flies off into space at the end) and not merely escape vessels, he might have managed a safe landing at least once, no? And what about that ending???? I mean, in the original film it was clear that everything took place on earth. But here: the whole movie takes place on a distant planet, and suddenly the same (there's a Thade statue) ape culture is on earth??? How come? Did the apes of the far planet evolve technologically, flew into the time storm and colonised earth before Davidson's mission took off? Why is Thade worshiped? Stupid stupid stupid.<br /><br />Helena Bonham Carter is even adorable and beautiful as an ape, but I'd expected no less. I preferred her ape above Estella Warren as a human, but maybe I got some loose wire in my head. Nevertheless, the only convincing apes were Tim Roth as Thade (wonderful!) and Ari's household ape (the ex-general, but I forgot his name).<br /><br />Nonono, a lot of things could and should have been added/altered to the 1968 pic, but not the plot, at least not in that way. It was simple and clear and needed no additional explaining. It was nicely tongue-in cheek and caricatured. Don't stylize everything...",0
"For die-hard Judy Garland fans only. There are two (2) numbers that are really good -- one where she does a number with an older cleaning lady (you've all seen the pics), and a pretty good number at the very end. There are a couple of scenes where the lines are funny. But, basically, the script is so bad and the movie so dated that it's hard not to cringe at the awfulness throughout. But it's worth the 2.50 to rent the movie -- just be prepared to fast-forward it.",0
"Looking at some of the negative posts, you really have to wonder what some people do for fun....<br /><br />I was lucky enough to see the film during its all-too-brief theatrical run. The audience laughed its heads off. I'm watching a tape of it as I type and it's still dang funny!<br /><br />It's also got a sweet side, with unexpected turns of genuine pathos. The late, great Royal Dano is especially effective as the lonely, down-on-his-luck farmer Wrenchmuller. Ariana Richards and J.J. Anderson are great as the lead kids. And the actors in the Martian suits, although limited to mime, do a great job<br /><br />Another thing to look for is the background details. The film is full of homages, pastiches, and references to other SF and fantasy films. Take a look at the Martian costumes next time. One of them is wearing a Marty McFly costume, another is a Ghostbuster, a third is in a House Atreides uniform, and a fourth is wearing a Last Starfighter flightsuit.",1
"2054. Paris is an Escher drawing with people and vehicles scurrying along at multiple levels in an obvious homage to Fritz Lang's Metropolis. Paris is both ultramodern and crumbling into decay. And in the blink between surveillance sweeps, a pretty young medical researcher is kidnapped just after leaving her sister in a seedy nightclub. A tough police captain investigates. Shown in stark black and white, with the gloomy corridors, shadowy alleys and single source lighting characteristic of the most hard-boiled of film noir, comparisons to Sin City are inevitable. But the story owes more to Masamune Shirow and William Gibson than to Frank Miller, as high tech surveillance, near-invisible stealth suits and ruthless super-corporations are as much a part of the landscape as guns and cars. The film never quite generates the doom-laden atmosphere of Gibson's cyberpunk vision, with its tech-heavy marginal characters clashing with industrial types from corporations that all seem to have their own Ministry of Fear, but the viewer definitely gets the sense that future Paris is no Utopia and future science is less than benevolent. And as the police procedural plot line unfolds we are taken into the darker recesses of individual ambition beneath the shiny veneer of Avalon corporation's cultivated PR image. The motion capture process used here produces a look somewhere between B&W comic books and next generation rotoscoping, and is either captivating or intrusive depending on your tastes. Nevertheless, a great visual sense is on display here, and future Paris is filled in down to the tiny details giving the picture a unique look which is in turns both spartan and baroque. Worth a look.",1
"The only reason I saw ""Shakedown"" was that it has Erika Eleniak in it. She's sexy as always, but she plays second fiddle to leading man Wolf Larson. It's a pity, because she has more action capabilities than she's allowed to show here. The film largely consists of endless shootouts that quickly become monotonous - especially when most of the time you are seeing the bad guys armed with machine guns constantly missing Larson and him armed only with a revolver (that NEVER runs out of bullets) taking them all out rather easily. The earthquake effects are decent, but there is also a lot of blurry motion and poor CGI explosions. As the psychotic ""spiritual leader"", Ron Perlman tries, but the pseudo-religious mumbo-jumbo he has to spout is simply boring. Eleniak, Perlman or Larson (assuming he has any) completists might want to give this one a look, for others it is barely worth a rental. (*1/2)",0
"Here's a rare gem for those of you that haven't seen or most likely not even heard of this. During the 80s, Dennis Quaid was a hot commodity, but in the early 90s, Dennis Quaid disappeared from the scene. In 1993, he burst back onto the big screen with three movies, all of which unfortunately bombed. Two of those films I liked very much, and let me elaborate on one of them.<br /><br />""Wilder Napalm"" is a crazy flick about two brothers, Wallace (Quaid) and Wilder (Arliss Howard), whom are...fire starters: yes they have the power of pyrokinetics. <br /><br />Wilder has decided not to use his power anymore (for anything not useful anyway) after a fatal incident during his youth, where he and his brother blew up an abandoned house which killed a man who was inside unbeknownest to them. Nowadays, Wilder is a firefighter and is married to the wacky Vida (Debra Winger), who is under house arrest for, guess what, arson (see the movie to understand this better). Wilder also hasn't spoken to Wallace in 5 years, because Wallace set his hair on fire during his bachelor party.<br /><br />Wallace loves his pyro power and uses it for amusement. He also runs a Carnival and is the head clown. When the Carnival comes to Wilder's town, Wallace decides to reunite with his brother and also to see Vida, whom which Wallace has been in love with! Vida's house arrest sees its end, but Wilder is preoccupied. So, Wallace steps in and the fun begins. Brother vs. brother...fighting fire with fire! <br /><br />Some great fireball throwing in this flick...eat your heart out, Drew Barrymore!<br /><br />The film also has some really weird, yet funny elements, like Wilder's fire unit sings songs acapella during firefights and after wards. Jim Varney (globally known as 'Ernest') pops in as Wallace's redneck carnival buddy. ""Wilder Napalm"" is brilliantly shot...and cleverly put together...very off the wall and avant-guard.<br /><br />Give this one a look...",1
"This is very much not the sort of movie for which John Wayne is known. He plays a diplomat, a man who gets things done through words and persuasion rather than physical action. The film moves with a quiet realism through its superficially unexciting story.<br /><br />For the open-minded, the patient and the thoughtful, this movie is a rich depiction of an intriguing part of history.<br /><br />There are two intertwining stories. The big story is of internalised, isolationist Japan and externalised, expansionist America clashing when their interests conflict. The small, human, story is of an outsider barbarian (Wayne) and a civilised Geisha's initial hostility and dislike turning to mutual respect and love. The human story is a reflection of the greater story of the two nations.<br /><br />The movie is very well done and all actors play their roles well. The two lead roles are performed to perfection. John Wayne is excellent as Townsend Harris, striking exactly the right blend of force and negotiation in his dealings with the Japanese. Eiko Ando is likewise excellent as the Geisha of the title, charming and delightful. The interaction between her character and John Wayne's is particularly well portrayed. This is exactly how these two individuals (as they are depicted in the film) would have behaved.<br /><br />The script is very well written. It lacks all pomposity. and is a realistic depiction of the manner in which the depicted events may have occurred. The characters are real people, not self-consciously ""great"" figures from history. Furthermore, the clash of cultures and interests is portrayed with great skill and subtlety. Indeed, the clash of a traditionalist, and traditionally powerful, isolationist Japan and a rising, newly powerful nation from across the ocean is summarised very well in one exchange between John Wayne and the local Japanese baron. Wayne complains that shipwrecked sailors are beheaded if they land in Japan, and that passing ships cannot even put into port for water. The Baron responds that Japan just wants to be left alone. Wayne's character replies that Japan is at an increasingly important crossroads of international shipping, and that if things continue as before the nation will be regarded as nothing more than a band of brigands infesting an important roadway. A very real summary of the way in which the two countries each saw themselves as being in the right, and saw the other as being in the wrong. The resultant clash between two self-righteous peoples with conflicting interests has its reflections throughout history, a continuing theme that echoes into the present and on into the future.<br /><br />Cinematography and the depiction of mid-nineteenth century Japan, before the accelerated growth towards industrialisation that was to follow later in the century, is excellent. A visual treat, and an enlightening insight into Japan's ancient civilisation.<br /><br />I highly recommend anyone, whether a John Wayne fan or not, to watch this film if you get the chance. Just be aware that it isn't an action film. It is a representation of an interesting place and time in history, and a slow-boiling love story which (much to their surprise) comes to dominate the personal lives of the two main characters. Watch this film on its merits, without preconceptions, allow yourself to be immersed in its story, and you will thoroughly enjoy it.<br /><br />All in all, an excellent film.",1
"I watched this movie with some curiosity. I wanted to see if 1) Paul Muni could play Chinese and 2) Luise Rainer deserved her Oscar. I came away from the film thinking YES! Having seen Muni in only one film where he was quite hammy, I expected the same type of performance here. I was happily proved wrong. Although some might criticize him as being too childlike and stereotypically simple in the Hollywood idea of Asians, I thought he was just right in the role. Keye Luke, if he'd been given the chance to play a lead role, might have played him in much the same manner.<br /><br />I was particularly impressed by the camera work and the use of crowd scenes, especially during the sacking of the palace where O-Lan was once a slave. The graphic and grim atmosphere of the firing squad and the drought made this an epic quite unlike others of the same time where it was all glitz and glitter. I watched this film from beginning to end enthralled. I can't say the same for the ""epics"" of today.",1
"If I didn't know any better, it almost seems like it was staged, but it wasn't. It was set up perfectly, and how they got all of that footage is amazing! The unfortunate events of September 11, 2001 are put together well in this documentary and the classic footage that they got made this an unfortunate classic. Just the history in the footage alone should make it a MUST see for any american or person touched by the tragedy of September 11.",1
"A major disappointment. This was one of the best UK crime drama / detective shows from the 90's which developed the fascinating title character played by Scotland's Robbie Coltrane. However this one-off has little to add and perhaps suffers from an inevitable let down due to raised expectations when a favored show returns after a long hiatus. Coltrane isn't really given much to do, much more attention is spent on the uninteresting killer, and in what he has to act in, he seems uninvolved, almost bored. The ex-soldier's story is written by the books and the attempt to update us on Coltrane's family life seems lightweight. Perhaps if the writers had a whole series in front of them instead of just this one two-hour show they would have written this with much more depth. As is, skip this and watch the old Cracker from the 90's which is far far superior.",0
"No, there is another !<br /><br />Because every Star Wars fan had to have an opinion about I, II & III and because that opinion was biased since we missed so much the atmosphere and the characters of the original trilogy, I will state the good points of ""The Return of the Jedi"" and a few corresponding bad points of the prequel. Of course, I loved the music, the special effects, the two droids, but this has been overly debated elsewhere.<br /><br />What we get in the original trilogy and in this particular movie : - A strong ecological concern - Anti-militarist positions - Fascinating insights about the Jedi Order and the Force - Cute creatures - Harrison Ford's smile - A killer scene : Near the ending, when Vader looks alternatively at his son and at the Emperor. The lightning of the lethal bolts reflected on his Black helmet. And when he grabs and betrays his Master to save Luke, thereby risking his own life ! Oh, boy !<br /><br />What is wrong in the prequel INMHO : - the whole ""human factor"" element that the original cast was able to push forward is somehow missing - The Force seems to be more about superpowers and somersaults, than about wisdom - Too many Jedis at once and too many Light Sabers on the screen - The lack of experience of a few actors too often threatens the coherence of the plot <br /><br />By the way, if you enjoy the theory of the Force as explained by Obi Web (Obi Wen, I mean) and Yoda, then you should read a few books about Buddhism and the forms it took in Ancient Japan.<br /><br />The magic of Star Wars, IMHO lies mainly in the continuing spiritual heritage from a master to his apprentice, from a father to his son, albeit the difficulties. ""De mon âme à ton âme"", (from my soul to yours), as would write Bejard to the late Zen master T. Deshimaru.",1
"This is a film that had a lot to live down to . on the year of its release legendary film critic Barry Norman considered it the worst film of the year and I'd heard nothing but bad things about it especially a plot that was criticised for being too complicated <br /><br />To be honest the plot is something of a red herring and the film suffers even more when the word "" plot "" is used because as far as I can see there is no plot as such . There's something involving Russian gangsters , a character called Pete Thompson who's trying to get his wife Sarah pregnant , and an Irish bloke called Sean . How they all fit into something called a "" plot "" I'm not sure . It's difficult to explain the plots of Guy Ritchie films but if you watch any of his films I'm sure we can all agree that they all posses one no matter how complicated they may seem on first viewing . Likewise a James Bond film though the plots are stretched out with action scenes . You will have a serious problem believing RANCID ALUMINIUM has any type of central plot that can be cogently explained <br /><br />Taking a look at the cast list will ring enough warning bells as to what sort of film you'll be watching . Sadie Frost has appeared in some of the worst British films made in the last 15 years and she's doing nothing to become inconsistent . Steven Berkoff gives acting a bad name ( and he plays a character called Kant which sums up the wit of this movie ) while one of the supporting characters is played by a TV presenter presumably because no serious actress would be seen dead in this <br /><br />The only good thing I can say about this movie is that it's utterly forgettable . I saw it a few days ago and immediately after watching I was going to write a very long a critical review warning people what they are letting themselves in for by watching , but by now I've mainly forgotten why . But this doesn't alter the fact that I remember disliking this piece of crap immensely",0
